"id","selfish99","selfish975","selfish95","selfish90","selfish75","impartial05","impartial10","stochastic_symmetricd01","stochastic_symmetricd05","stochastic_symmetricd10","CCEI_nonstochastic_sym90","CCEI_nonstochastic_sym95","reject_SRISK = PRISK","reject_SRISK = SOCIAL","reject_SOCIAL = PRISK","reject_ALL DOMAINS","p_SRISK = PRISK","p_SRISK = SOCIAL","p_SOCIAL = PRISK","p_ALL DOMAINS","reject_mSRISK = mPRISK","reject_mSRISK = mSOCIAL","reject_mSOCIAL = mPRISK","reject_mALL DOMAINS","p_mSRISK = mPRISK","p_mSRISK = mSOCIAL","p_mSOCIAL = mPRISK","p_mALL DOMAINS"
318,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0.97583328,0.006794220000000184,0.358328,0.05763728534600032,0,0,0,0,1,1,1,1
319,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.057579499999999895,0.12401549999999983,0.6142752800000001,0.3430696714239998
320,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
321,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.15065087999999993,2.1217999999999902e-4,0.0015996799999997702,0.0011189524480000011,1,1,1,1,3.9997999999985545e-4,0.04771199999999998,0,0
322,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1.479200000000018e-4,0.0010857799999999989,3.4747958000000134e-5,0,1,1,1,1,0,0,0
323,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.9484599800000002,3.871999999999929e-5,8.44999999999987e-5,2.869781399999996e-5,0,1,1,1,0.20221277999999976,0,0,0
324,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0.44697312,0.010785420000000157,0,0,1,1,1,1,0.008391180000000054,0,0,0
325,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,3.9997999999985545e-4,0,0,0
326,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0.89322558,0,0,0,0,1,1,1,0.23430368000000001,0,0,0
327,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0.025915499999999758,3.9997999999985545e-4,3.864200000000013e-4,0,1,1,1,1,0,0.0011998199999998516,0,0
328,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0.18548750000000003,3.9997999999985545e-4,0,1,0,1,1,0,0.9826915200000002,0,0
329,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0.6316880000000001,1,0.6627477759999999,0,0,0,1,0.09142088,0.09107912000000003,1,0.028733257981999993
330,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3.919999999999758e-6,9.80000000000095e-7,1.4817599999999806e-7,0,1,1,1,0.2939260800000001,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.0022177799999999995,0,1,1,1,1,0,3.9997999999985545e-4,0,0
332,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3.9997999999985545e-4,0,0.1594870199999998,0,1,1,0,1,0,0,0.2361823799999998,0
333,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0.08507549999999986,0.88069278,1,0.41092525454399986
334,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.9594526199999998,0,0,3.9366000000001565e-8,0,1,1,1,1,0,0,0
335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25379328,0.78901922,0.07095918000000001,0.0728959817339998,1,0,1,1,0.00599549999999982,1,0,0
401,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.5840920799999998,0.031752,0.042282319999999984,0.027925402624000006,0,0,0,0,1,0.0807676799999999,0.11897592000000001,0.5298162187500002
402,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0.78675968,0.7916094200000001,0.39508471999999983,0.421197199024,0,1,1,1,1,7.99919999999954e-4,0.008790319999999907,5.999400020000323e-4
403,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.4680499200000001,0.0011998199999998516,2.8799999999998987e-6,0.004796161024000156,0,1,1,1,0.5218318199999998,0,0,0
404,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.08585822000000021,0,0.0011998199999998516,0,1,1,1,1,0.009439379999999995,0,0,0
405,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.5877918199999999,0,0,5.999400020000323e-4,1,1,1,1,0.017959499999999684,0,0,0
406,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0.0027990200000000964,0.007592779999999966,0.7735192200000001,0.042298255821999975,1,0,0,1,0,1,0.4086719999999999,0
407,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.4370879999999999,0,0,0,0,1,1,1,0.2312956799999999,0,0,0
408,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3.9997999999985545e-4,0.17021549999999985,0,0.005994001999999998,0,0,0,0,0.87739872,0.86959352,1,1
409,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0.06899447999999997,0,1.9999999999995593e-8,0,1,1,1,1,0,0,0,0
410,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.11539207999999997,0,0,0,1,1,1,1,0.0012903199999999978,0,0,0
412,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3745955000000001,0.013513680000000017,0.34780157999999983,0.29876638523199994,1,1,0,1,0.004397580000000012,3.9997999999985545e-4,0.21886062000000006,0
413,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.8815903199999999,0.85117518,0.1717455800000003,0.6249396320479998
414,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0.68001248,0.6832600799999999,0.7928692842980001,0,0,0,0,0.17595000000000005,1,0.5000880000000001,0.2700432680960001
415,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0.22715550000000007,0,0,0
416,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,6.480000000000172e-6,0,0.0015996799999997702,0,1,1,1,1,0,0,0,0
417,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.012513619999999984,0,0,0,1,1,1,1,7.920200000000023e-4,0,0,0
418,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.7675604999999999,0,0,0,0,1,1,1,1,0.049687499999999885,0,0.004197060686000231
419,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.23998592000000005,0.253472,0.13781249999999995,0.07923389385799999,1,1,1,1,0.003997999999999946,3.9997999999985545e-4,0,0
420,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0.8277132800000002,0,0.11004318000000013,0.004197060686000231
421,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.06820831999999988,0.013576879999999791,0.10161032000000005,0.07582115430400016,1,0,1,1,3.9997999999985545e-4,1,0.02829918000000009,0.0017994600539998906
422,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0.3368767799999999,0,0,0,0,1,1,1,0.06702878000000001,0,0,0
423,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.62339778,0.12711341999999992,0.18205687999999998,0.38765068511400025
424,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.08742318000000004,0,9.679999999999823e-6,0,1,1,1,1,0.0011998199999998516,0.011981999999999937,0,0
425,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.3394291199999999,0.01756127999999979,0.007032980000000005,0.04241585766400002,0,0,1,1,0.47259757999999996,1,0,0
426,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.68001248,1,0.67285368,0.7407136931780001,0,0,0,0,0.8758998199999999,0.8438878200000002,1,1
427,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.057185279999999894,0,0,0,1,1,1,1,0,0,0,0
428,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.37243118,0,0,0,0,1,1,1,0.057185279999999894,0,0,0
429,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0.1544952799999999,0,0,0
430,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.06781517999999997,0,0,0,1,1,1,1,0,0,0,0
431,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.02392799999999995,3.9997999999985545e-4,1,0.026878682249999786,1,0,1,1,0,0.43991552,0.019949999999999912,0
432,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,2.0000000000000037e-6,0,0,1,1,1,0.63303752,0.0011998199999998516,0,0
433,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.88338432,0,0,0,1,1,1,1,0.03068142000000007,0,0,0
434,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.18091261999999997,0,0,1,0,1,1,0,1,0,0
435,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0.22715550000000007,0.5228632799999997,0.1150947200000001,0.1095371097119997,1,0,1,1,0.004797119999999877,0.27243127999999994,0,0
501,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.0011998199999998516,7.99919999999954e-4,0.009584648192000333,0,1,1,1,0.6283205,0,0,0
502,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0.1471874999999998,0,0,0
503,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0.007193520000000175,0,0,0,1,0,1,1,0,0.28874999999999984,0,0
504,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.039480499999999974,0,0,0,0,1,1,1,0.14795741999999978,0.0023992800000001147,0,0
505,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1.9999999999995593e-8,0,1.4580000000000578e-9,0,1,1,1,1,0,0,0
506,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1.7999999999996035e-7,0,2.0000000000000055e-9,0,1,1,1,1,0,0,0
507,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.012576980000000012,0.08152721999999997,0.015976011997999993,0,1,1,1,0.7362679799999998,0.015569579999999972,0,0
508,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0.23543101999999982,0,0,0
509,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,3.199999999999295e-7,1.9999999999995593e-8,6.553599999999881e-8,0,1,1,1,0.43071671999999994,0,0,0
510,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1.9999999999995593e-8,0,0,0,1,1,1,1,0,0,0
511,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.999999999999339e-12,0,1,1,1,1,0,0,0
512,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,8.779520000000177e-7,0,1,1,1,1,0,0,0
513,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0.0370270199999998,0,0,0,1,1,1,1,0.006394880000000214,0,0,0
514,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.03187200000000012,0,0,0,1,1,1,1,0.0015996799999997702,0,0,0
515,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.014011379999999999,1.6820000000000157e-5,0,8.574999999999615e-8,1,1,1,1,7.99919999999954e-4,0,0,0
517,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0.009189419999999782,0.008391180000000054,0.02033071860799973,0,1,1,1,0.11936382000000001,0,0,0
518,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1.9999999999995593e-8,1.279999999999577e-10,0,1,1,1,0.20224799999999993,0,0,0
519,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0.64456658,0,0,0
520,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0.8539019999999999,0,0,0
521,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3.4559999999998173e-9,0,1,1,1,0.50458782,0,0,0
522,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,3.9997999999985545e-4,0.8071054200000001,0.004796161024000156,1,1,1,1,0,0,0.003598380000000123,0
523,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,7.99919999999954e-4,0.004796161024000156,0,1,1,1,1,0,0,0
524,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.06422528000000002,0.05658248000000001,0.02112223476800001,0,1,1,1,1,0,0,0.007191363455999911
525,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,3.361999999999988e-5,4.80200000000003e-5,1.3078406000000105e-5,1,1,1,1,0.03028448000000017,0,0,0
527,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1.9999999999995593e-8,0,1,1,1,1,0,0,0,0
528,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1.7671999999999865e-4,1.692799999999995e-4,0,1,1,1,1,0,0,0,0
529,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.28380578000000006,1.9999999999995593e-8,0,1.5999999999994713e-11,1,1,1,1,0.03953671999999997,0,0,0
530,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.15756791999999997,0,0,0,0,1,1,1,1,0,0,0
531,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.025518079999999888,0,0,0,1,1,1,1,0.0015996799999997702,0,0,0
532,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2.499999999999174e-10,0,1,1,1,1,0,0,0
533,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0
534,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.10732031999999991,0,0,0,0,1,1,1,0.17059807999999999,0,0,0
535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.021541679999999896,3.9997999999985545e-4,0.004796161024000156,0,1,1,1,0.15564781999999977,0,0,0
536,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.25752887999999996,0,0,0,0,1,1,1,1,0,0,0
537,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.21319391999999993,0,1.9999999999995593e-8,0,1,0,1,1,0.009987499999999816,0.26759502000000013,0,0
538,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0.949469086802,0,0,0,0,0.50389598,0.6498000000000002,0.85934592,0.95473446725
539,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.999999999999339e-12,0,1,1,1,0.20518418000000005,0,0,0
540,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.17862301999999985,0,1.9999999999995593e-8,0,1,1,1,1,0.010785420000000157,0,0,0
541,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.62339778,7.99919999999954e-4,0.0011998199999998516,0.0011997600159998623,0,1,1,1,0.5358972799999999,0,0,0
542,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0
544,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0.62429138,0,0,0
545,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.0031987200000000993,0,0,0,0,1,1,1,0.8374924800000001,0,0,0
546,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0
547,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1.9999999999995593e-8,6.860000000000998e-10,0,1,1,1,1,0,0,0
548,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2.499999999999174e-10,0,1,1,1,1,0,0,0
549,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.999999999999339e-12,0,1,1,1,0.13020878000000002,0,0,0
550,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.88726638,0.35836578,0.025518079999999888,0.04170668599999994,0,1,1,1,0.07880798000000011,0,0,0
551,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,6.272000000000111e-5,2.1217999999999902e-4,1.6241202000000015e-5,0,1,1,1,1,0,0,0
552,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0.0031987200000000993,0,1,0,1,1,0,0.087032,0,0
553,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0.06027391999999998,0,1.7999999999996035e-7,1.999999999999339e-12,1,1,1,1,0.020160320000000016,0,0,0
554,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.7780033799999998,1.479200000000018e-4,1.3777999999999913e-4,2.129600000000006e-5,0,1,1,1,0.6555125,0,0,0
555,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.8209663199999999,0,0,0,0,1,0,0,1,0.04177949999999986,1,0.2634986720000003
556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.35325048000000003,2.9767999999999944e-4,0.009189419999999782,3.4935375799999903e-4,0,1,1,1,0.63551538,0,0,0
557,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0.012928320000000009,0,0,0,1,1,1,1,0,0,0,0
558,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,3.6991999999999705e-4,1.2800000000000733e-6,4.499999999999675e-6,0,1,1,1,1,0,0,0,0
559,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.63303752,0,0,0,1,1,1,1,0.003997999999999946,0,0,0
560,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,3.9997999999985545e-4,0,6.480000000000172e-6,0,1,1,1,1,0,0.013576879999999791,0,0
601,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,5.2019999999999864e-5,6.049999999999889e-5,1.8258658000000078e-5,0,1,1,1,1,0,0,0
